,api,smiles
0,"4,4'-Bipyridine",C1=CN=CC=C1C2=CC=NC=C2
1,Acetylsalicylicacid,CC(=O)OC1=CC=CC=C1C(=O)O
2,Anthranilicacid,C1=CC=C(C(=C1)C(=O)O)N
3,Benzoicacid,C1=CC=C(C=C1)C(=O)O
4,Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
5,Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
6,Citricacid,C1=CC2=C(C=C1N)C(=O)NC2=O
7,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
8,Isonicotinamide,C1=CN=CC=C1C(=O)N
9,L-Ascorbicacid,C(C(C1C(=C(C(=O)O1)O)O)O)O
10,L-Glutamicacid,C(CC(=O)O)C(C(=O)O)N
11,Nicotinamide,C1=CC(=CN=C1)C(=O)N
12,Phenazine,C1=CC=C2C(=C1)N=C3C=CC=CC3=N2
13,Riboflavine,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
14,Salicylicacid,CCCC1=CC=C(C=C1)Cl
15,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
16,Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2
17,Trans-Aconiticacid,C(C(=CC(=O)O)C(=O)O)C(=O)O
18,2-Nitrobenzoicacid,C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-]
19,4-Aminobenzoicacid,C1=CC(=CC=C1C(=O)O)N
20,3-Methoxybenzoicacid,COC1=CC=CC(=C1)C(=O)O
21,2-Nitrobenzamide,C1=CC=C(C(=C1)C(=O)N)[N+](=O)[O-]
22,4-Nitrobenzamide,C1=CC(=CC=C1C(=O)N)[N+](=O)[O-]
23,4-Hydroxybenzamide,C1=CC(=CC=C1C(=O)N)O
24,3-Fluorobenzamide,C1=CC(=CC(=C1)F)C(=O)N
25,3-Methylbenzamide,CC1=CC(=CC=C1)C(=O)N
26,4-Methylbenzamide,CC1=CC=C(C=C1)C(=O)N
27,Mesaconicacid,CC(=CC(=O)O)C(=O)O
28,3-Nitrobenzoicacid,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O
29,4-Nitrobenzoicacid,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-]
30,3-Hydroxybenzoicacid,C1=CC(=CC(=C1)O)C(=O)O
31,4-Hydroxybenzoicacid,C1=CC(=CC=C1C(=O)O)O
32,2-Fluorobenzoicacid,C1=CC=C(C(=C1)C(=O)O)F
33,3-Fluorobenzoicacid,C1=CC(=CC(=C1)F)C(=O)O
34,4-Fluorobenzoicacid,C1=CC(=CC=C1C(=O)O)F
35,3-Aminobenzoicacid,C1=CC(=CC(=C1)N)C(=O)O
36,2-Methoxybenzoicacid,COC1=CC=CC=C1C(=O)O
37,4-Methoxybenzoicacid,C1=CC2=C(C=C1[N+](=O)[O-])C(=CN2)C#N
38,2-Methylbenzoicacid,CC1=CC=CC=C1C(=O)O
39,3-Methylbenzoicacid,CC1=CC(=CC=C1)C(=O)
40,4-Methylbenzoicacid,CC1=CC=C(C=C1)C(=O)O
41,3-Nitrobenzamide,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)N
42,2-Hydroxybenzamide,C1=CC=C(C(=C1)C(=O)N)O
43,4-Fluorobenzamide,C1=CC(=CC=C1C(=O)N)F
44,2-Aminobenzamide,C1=CC=C(C(=C1)C(=O)N)N
45,3-Aminobenzamide,C1=CC(=CC(=C1)N)C(=O)N
46,4-Aminobenzamide,C1=CC(=CC=C1C(=O)N)N
47,2-Methoxybenzamide,COC1=CC=CC=C1C(=O)N
48,3-Methoxybenzamide,COC1=CC=CC(=C1)C(=O)N
49,4-Methoxybenzamide,COC1=CC=C(C=C1)C(=O)N
50,2-Methylbenzamide,CC1=CC=CC=C1C(=O)N
